 59  53  .210  .061  .126  .029  .008  .029  .030   4.86   2.64   30.51     .00     .00     .00   16.95     .00   -5.19     .00   .000E+00  .000E+00      .00     .00
 59  89  .181  .121  .063  .039 -.008 -.009  .003   4.74   1.61  -70.84  -72.49     .00     .00     .00    5.09     .00    7.59   .000E+00  .000E+00      .00     .00
 59 134  .123  .098  .053  .050  .009  .015  .008    .34  -3.35  176.09     .00     .00     .00     .00     .00     .00     .00   .000E+00  .000E+00      .00     .00
 60  52  .219  .000  .102  .000  .004  .000 -.001   4.09    .80   50.93     .00     .00     .00     .00     .00   -4.25     .00   .000E+00  .000E+00      .00     .00
 60  82 -.001  .000 -.001  .000 -.001  .000  .000    .10  -2.43  -82.61  -85.96     .00     .00     .00    9.83     .00    7.22   .000E+00  .000E+00      .00     .00
 61  89  .232  .059  .091  .005 -.015 -.013  .009   5.37   1.97  -72.66  -73.61     .00     .73     .00    5.60     .00    6.51   .000E+00  .000E+00      .00     .00
 61 134  .120  .101  .050  .043  .011  .010  .004    .50  -2.77  150.23     .00     .00     .00     .00     .00     .00     .00   .000E+00  .000E+00      .00     .00
 61 142  .242  .015  .088  .000 -.003 -.006  .008   4.94  -2.45  217.96     .00     .00     .00     .00     .00     .00     .00   .000E+00  .000E+00      .00     .00
 62  84 -.004  .000  .000  .000  .000  .000  .000    .08    .55  -76.67  -81.01    3.51    2.53     .00    8.41     .00    7.02   .544E+04  .325E+16     3.74   15.51
 63 134  .123  .090  .056  .031  .011  .003  .002    .53  -2.00  127.01     .00     .00     .00     .00     .00     .00     .00   .000E+00  .000E+00      .00     .00
 63 142  .245  .000  .077  .000 -.004  .000 -.001   5.33  -2.09  190.76     .00     .00     .00     .00     .00     .00     .00   .000E+00  .000E+00      .00     .00
 64  86  .170  .000  .044  .000  .015  .000 -.002   1.26   1.99  -71.61  -75.77    2.63    2.81     .00    8.71     .00    6.61   .101E+14  .565E+14    13.01   13.75
 65 134  .122  .090  .055  .028  .012  .005 -.001    .76  -1.49  105.93     .00     .00     .00     .00     .00     .00     .00   .000E+00  .000E+00      .00     .00
 66  88  .211  .000  .031  .000 -.001  .000 -.027   3.23   2.24  -67.11  -70.40    2.08    2.95     .00    9.32     .00    6.37   .135E+23  .947E+14    22.13   13.98
 66  90  .236  .000  .043  .000  .003  .000  .000    .00    .00  -67.86  -70.53     .00    1.76     .00    9.44     .00    6.56   .000E+00  .000E+00      .00     .00
 66  92  .255  .000  .054  .000  .005  .000  .000    .00    .00  -68.07  -70.42     .00     .87     .00    9.06     .00    6.93   .000E+00  .000E+00      .00     .00
 66  96  .278  .000  .037  .000 -.012  .000  .000    .00    .00  -65.91  -68.19     .00     .08     .00    8.20     .00    8.01   .000E+00  .000E+00      .00     .00
 66 100  .290  .000  .010  .000 -.031  .000  .000    .00    .00  -60.84  -62.59     .00     .00     .00    7.04     .00     .00   .000E+00  .000E+00      .00     .00
 67 133  .078  .027  .053  .015  .009  .011  .001    .61   -.67   80.93     .00     .00     .00     .00     .00     .00     .00   .000E+00  .000E+00      .00     .00
